Filename,Peak_Counts,Project,Control,Peak_Type,Aligner,Peak_Caller,Deduplicator,Test,Peaks
Namani_with_control_broad_bowtie2_cisgenome_samtools_test2_peaks,3504,Namani,with_control,broad,bowtie2,cisgenome,samtools,test2,peaks
Namani_with_control_broad_bowtie2_cisgenome_samtools_test3_peaks,3504,Namani,with_control,broad,bowtie2,cisgenome,samtools,test3,peaks
Namani_with_control_broad_bowtie2_genrich_no_deduplication_test1_peaks,220036,Namani,with_control,broad,bowtie2,genrich,no_deduplication,test1,peaks
Namani_with_control_broad_bowtie2_genrich_no_deduplication_test2_peaks,220036,Namani,with_control,broad,bowtie2,genrich,no_deduplication,test2,peaks
Namani_with_control_broad_bowtie2_genrich_no_deduplication_test3_peaks,220036,Namani,with_control,broad,bowtie2,genrich,no_deduplication,test3,peaks
Namani_with_control_broad_bowtie2_genrich_picard_test1_peaks,156761,Namani,with_control,broad,bowtie2,genrich,picard,test1,peaks
Namani_with_control_broad_bowtie2_genrich_picard_test2_peaks,156761,Namani,with_control,broad,bowtie2,genrich,picard,test2,peaks
Namani_with_control_broad_bowtie2_genrich_picard_test3_peaks,156761,Namani,with_control,broad,bowtie2,genrich,picard,test3,peaks
Namani_with_control_broad_bowtie2_genrich_sambamba_test1_peaks,156761,Namani,with_control,broad,bowtie2,genrich,sambamba,test1,peaks
Namani_with_control_broad_bowtie2_genrich_sambamba_test2_peaks,156761,Namani,with_control,broad,bowtie2,genrich,sambamba,test2,peaks
Namani_with_control_broad_bowtie2_genrich_sambamba_test3_peaks,156761,Namani,with_control,broad,bowtie2,genrich,sambamba,test3,peaks
Namani_with_control_broad_bowtie2_genrich_samtools_test1_peaks,156761,Namani,with_control,broad,bowtie2,genrich,samtools,test1,peaks
Namani_with_control_broad_bowtie2_genrich_samtools_test2_peaks,156761,Namani,with_control,broad,bowtie2,genrich,samtools,test2,peaks
Namani_with_control_broad_bowtie2_genrich_samtools_test3_peaks,156761,Namani,with_control,broad,bowtie2,genrich,samtools,test3,peaks
Namani_with_control_broad_bowtie2_macs3_no_deduplication_test1_peaks,3196,Namani,with_control,broad,bowtie2,macs3,no_deduplication,test1,peaks
Namani_with_control_broad_bowtie2_macs3_no_deduplication_test2_peaks,3196,Namani,with_control,broad,bowtie2,macs3,no_deduplication,test2,peaks
Namani_with_control_broad_bowtie2_macs3_no_deduplication_test3_peaks,3196,Namani,with_control,broad,bowtie2,macs3,no_deduplication,test3,peaks
Namani_with_control_broad_bowtie2_macs3_picard_test1_peaks,3196,Namani,with_control,broad,bowtie2,macs3,picard,test1,peaks
Namani_with_control_broad_bowtie2_macs3_picard_test2_peaks,3196,Namani,with_control,broad,bowtie2,macs3,picard,test2,peaks
Namani_with_control_broad_bowtie2_macs3_picard_test3_peaks,3196,Namani,with_control,broad,bowtie2,macs3,picard,test3,peaks
Namani_with_control_broad_bowtie2_macs3_sambamba_test1_peaks,3196,Namani,with_control,broad,bowtie2,macs3,sambamba,test1,peaks
Namani_with_control_broad_bowtie2_macs3_sambamba_test2_peaks,3196,Namani,with_control,broad,bowtie2,macs3,sambamba,test2,peaks
Namani_with_control_broad_bowtie2_macs3_sambamba_test3_peaks,3196,Namani,with_control,broad,bowtie2,macs3,sambamba,test3,peaks
Namani_with_control_broad_bowtie2_macs3_samtools_test1_peaks,3196,Namani,with_control,broad,bowtie2,macs3,samtools,test1,peaks
Namani_with_control_broad_bowtie2_macs3_samtools_test2_peaks,3196,Namani,with_control,broad,bowtie2,macs3,samtools,test2,peaks
Namani_with_control_broad_bowtie2_macs3_samtools_test3_peaks,3196,Namani,with_control,broad,bowtie2,macs3,samtools,test3,peaks
Namani_with_control_broad_bowtie2_pepr_no_deduplication_test1_peaks,62,Namani,with_control,broad,bowtie2,pepr,no_deduplication,test1,peaks
Namani_with_control_broad_bowtie2_pepr_no_deduplication_test2_peaks,62,Namani,with_control,broad,bowtie2,pepr,no_deduplication,test2,peaks
Namani_with_control_broad_bowtie2_pepr_no_deduplication_test3_peaks,62,Namani,with_control,broad,bowtie2,pepr,no_deduplication,test3,peaks
Namani_with_control_broad_bowtie2_pepr_picard_test1_peaks,29,Namani,with_control,broad,bowtie2,pepr,picard,test1,peaks
Namani_with_control_broad_bowtie2_pepr_picard_test2_peaks,29,Namani,with_control,broad,bowtie2,pepr,picard,test2,peaks
Namani_with_control_broad_bowtie2_pepr_picard_test3_peaks,29,Namani,with_control,broad,bowtie2,pepr,picard,test3,peaks
Namani_with_control_broad_bowtie2_pepr_sambamba_test1_peaks,29,Namani,with_control,broad,bowtie2,pepr,sambamba,test1,peaks
Namani_with_control_broad_bowtie2_pepr_sambamba_test2_peaks,29,Namani,with_control,broad,bowtie2,pepr,sambamba,test2,peaks
Namani_with_control_broad_bowtie2_pepr_sambamba_test3_peaks,29,Namani,with_control,broad,bowtie2,pepr,sambamba,test3,peaks
Namani_with_control_broad_bowtie2_pepr_samtools_test1_peaks,29,Namani,with_control,broad,bowtie2,pepr,samtools,test1,peaks
Namani_with_control_broad_bowtie2_pepr_samtools_test2_peaks,29,Namani,with_control,broad,bowtie2,pepr,samtools,test2,peaks
Namani_with_control_broad_bowtie2_pepr_samtools_test3_peaks,29,Namani,with_control,broad,bowtie2,pepr,samtools,test3,peaks
Namani_with_control_broad_bwa_mem_cisgenome_no_deduplication_test1_peaks,6359,Namani,with_control,broad,bwa_mem,cisgenome,no_deduplication,test1,peaks
Namani_with_control_broad_bwa_mem_cisgenome_no_deduplication_test2_peaks,6359,Namani,with_control,broad,bwa_mem,cisgenome,no_deduplication,test2,peaks
Namani_with_control_broad_bwa_mem_cisgenome_no_deduplication_test3_peaks,6359,Namani,with_control,broad,bwa_mem,cisgenome,no_deduplication,test3,peaks
Namani_with_control_broad_bwa_mem_cisgenome_picard_test1_peaks,3581,Namani,with_control,broad,bwa_mem,cisgenome,picard,test1,peaks
Namani_with_control_broad_bwa_mem_cisgenome_picard_test2_peaks,3581,Namani,with_control,broad,bwa_mem,cisgenome,picard,test2,peaks
Namani_with_control_broad_bwa_mem_cisgenome_picard_test3_peaks,3581,Namani,with_control,broad,bwa_mem,cisgenome,picard,test3,peaks
Namani_with_control_broad_bwa_mem_cisgenome_sambamba_test1_peaks,3581,Namani,with_control,broad,bwa_mem,cisgenome,sambamba,test1,peaks
Namani_with_control_broad_bwa_mem_cisgenome_sambamba_test2_peaks,3581,Namani,with_control,broad,bwa_mem,cisgenome,sambamba,test2,peaks
Namani_with_control_broad_bwa_mem_cisgenome_sambamba_test3_peaks,3581,Namani,with_control,broad,bwa_mem,cisgenome,sambamba,test3,peaks
Namani_with_control_broad_bwa_mem_cisgenome_samtools_test1_peaks,3581,Namani,with_control,broad,bwa_mem,cisgenome,samtools,test1,peaks
Namani_with_control_broad_bwa_mem_cisgenome_samtools_test2_peaks,3581,Namani,with_control,broad,bwa_mem,cisgenome,samtools,test2,peaks
Namani_with_control_broad_bwa_mem_cisgenome_samtools_test3_peaks,3581,Namani,with_control,broad,bwa_mem,cisgenome,samtools,test3,peaks
Namani_with_control_broad_bwa_mem_genrich_no_deduplication_test1_peaks,221317,Namani,with_control,broad,bwa_mem,genrich,no_deduplication,test1,peaks
Namani_with_control_broad_bwa_mem_genrich_no_deduplication_test2_peaks,221317,Namani,with_control,broad,bwa_mem,genrich,no_deduplication,test2,peaks
Namani_with_control_broad_bwa_mem_genrich_no_deduplication_test3_peaks,221317,Namani,with_control,broad,bwa_mem,genrich,no_deduplication,test3,peaks
Namani_with_control_broad_bwa_mem_genrich_picard_test1_peaks,157964,Namani,with_control,broad,bwa_mem,genrich,picard,test1,peaks
Namani_with_control_broad_bwa_mem_genrich_picard_test2_peaks,157964,Namani,with_control,broad,bwa_mem,genrich,picard,test2,peaks
Namani_with_control_broad_bwa_mem_genrich_picard_test3_peaks,157964,Namani,with_control,broad,bwa_mem,genrich,picard,test3,peaks
Namani_with_control_broad_bwa_mem_genrich_sambamba_test1_peaks,157964,Namani,with_control,broad,bwa_mem,genrich,sambamba,test1,peaks
Namani_with_control_broad_bwa_mem_genrich_sambamba_test2_peaks,157964,Namani,with_control,broad,bwa_mem,genrich,sambamba,test2,peaks
Namani_with_control_broad_bwa_mem_genrich_sambamba_test3_peaks,157964,Namani,with_control,broad,bwa_mem,genrich,sambamba,test3,peaks
Namani_with_control_broad_bwa_mem_genrich_samtools_test1_peaks,157964,Namani,with_control,broad,bwa_mem,genrich,samtools,test1,peaks
Namani_with_control_broad_bwa_mem_genrich_samtools_test2_peaks,157964,Namani,with_control,broad,bwa_mem,genrich,samtools,test2,peaks
Namani_with_control_broad_bwa_mem_genrich_samtools_test3_peaks,157964,Namani,with_control,broad,bwa_mem,genrich,samtools,test3,peaks
Namani_with_control_broad_bwa_mem_macs3_no_deduplication_test1_peaks,3325,Namani,with_control,broad,bwa_mem,macs3,no_deduplication,test1,peaks
Namani_with_control_broad_bwa_mem_macs3_no_deduplication_test2_peaks,3325,Namani,with_control,broad,bwa_mem,macs3,no_deduplication,test2,peaks
Namani_with_control_broad_bwa_mem_macs3_no_deduplication_test3_peaks,3325,Namani,with_control,broad,bwa_mem,macs3,no_deduplication,test3,peaks
Namani_with_control_broad_bwa_mem_macs3_picard_test1_peaks,3319,Namani,with_control,broad,bwa_mem,macs3,picard,test1,peaks
Namani_with_control_broad_bwa_mem_macs3_picard_test2_peaks,3319,Namani,with_control,broad,bwa_mem,macs3,picard,test2,peaks
Namani_with_control_broad_bwa_mem_macs3_picard_test3_peaks,3319,Namani,with_control,broad,bwa_mem,macs3,picard,test3,peaks
Namani_with_control_broad_bwa_mem_macs3_sambamba_test1_peaks,3319,Namani,with_control,broad,bwa_mem,macs3,sambamba,test1,peaks
Namani_with_control_broad_bwa_mem_macs3_sambamba_test2_peaks,3319,Namani,with_control,broad,bwa_mem,macs3,sambamba,test2,peaks
Namani_with_control_broad_bwa_mem_macs3_sambamba_test3_peaks,3319,Namani,with_control,broad,bwa_mem,macs3,sambamba,test3,peaks
Namani_with_control_broad_bwa_mem_macs3_samtools_test1_peaks,3319,Namani,with_control,broad,bwa_mem,macs3,samtools,test1,peaks
Namani_with_control_broad_bwa_mem_macs3_samtools_test2_peaks,3319,Namani,with_control,broad,bwa_mem,macs3,samtools,test2,peaks
Namani_with_control_broad_bwa_mem_macs3_samtools_test3_peaks,3319,Namani,with_control,broad,bwa_mem,macs3,samtools,test3,peaks
Namani_with_control_broad_bwa_mem_pepr_no_deduplication_test1_peaks,68,Namani,with_control,broad,bwa_mem,pepr,no_deduplication,test1,peaks
Namani_with_control_broad_bwa_mem_pepr_no_deduplication_test2_peaks,68,Namani,with_control,broad,bwa_mem,pepr,no_deduplication,test2,peaks
Namani_with_control_broad_bwa_mem_pepr_no_deduplication_test3_peaks,68,Namani,with_control,broad,bwa_mem,pepr,no_deduplication,test3,peaks
Namani_with_control_broad_bwa_mem_pepr_picard_test1_peaks,34,Namani,with_control,broad,bwa_mem,pepr,picard,test1,peaks
Namani_with_control_broad_bwa_mem_pepr_picard_test2_peaks,34,Namani,with_control,broad,bwa_mem,pepr,picard,test2,peaks
Namani_with_control_broad_bwa_mem_pepr_picard_test3_peaks,34,Namani,with_control,broad,bwa_mem,pepr,picard,test3,peaks
Namani_with_control_broad_bwa_mem_pepr_sambamba_test1_peaks,34,Namani,with_control,broad,bwa_mem,pepr,sambamba,test1,peaks
Namani_with_control_broad_bwa_mem_pepr_sambamba_test2_peaks,34,Namani,with_control,broad,bwa_mem,pepr,sambamba,test2,peaks
Namani_with_control_broad_bwa_mem_pepr_sambamba_test3_peaks,34,Namani,with_control,broad,bwa_mem,pepr,sambamba,test3,peaks
Namani_with_control_broad_bwa_mem_pepr_samtools_test1_peaks,34,Namani,with_control,broad,bwa_mem,pepr,samtools,test1,peaks
Namani_with_control_broad_bwa_mem_pepr_samtools_test2_peaks,34,Namani,with_control,broad,bwa_mem,pepr,samtools,test2,peaks
Namani_with_control_broad_bwa_mem_pepr_samtools_test3_peaks,34,Namani,with_control,broad,bwa_mem,pepr,samtools,test3,peaks
Namani_with_control_narrow_STAR_cisgenome_no_deduplication_test1_peaks,6745,Namani,with_control,narrow,STAR,cisgenome,no_deduplication,test1,peaks
Namani_with_control_narrow_STAR_cisgenome_no_deduplication_test2_peaks,6745,Namani,with_control,narrow,STAR,cisgenome,no_deduplication,test2,peaks
Namani_with_control_narrow_STAR_cisgenome_no_deduplication_test3_peaks,6745,Namani,with_control,narrow,STAR,cisgenome,no_deduplication,test3,peaks
Namani_with_control_narrow_STAR_cisgenome_picard_test1_peaks,3651,Namani,with_control,narrow,STAR,cisgenome,picard,test1,peaks
Namani_with_control_narrow_STAR_cisgenome_picard_test2_peaks,3651,Namani,with_control,narrow,STAR,cisgenome,picard,test2,peaks
Namani_with_control_narrow_STAR_cisgenome_picard_test3_peaks,3651,Namani,with_control,narrow,STAR,cisgenome,picard,test3,peaks
Namani_with_control_narrow_STAR_cisgenome_sambamba_test1_peaks,3651,Namani,with_control,narrow,STAR,cisgenome,sambamba,test1,peaks
Namani_with_control_narrow_STAR_cisgenome_sambamba_test2_peaks,3651,Namani,with_control,narrow,STAR,cisgenome,sambamba,test2,peaks
Namani_with_control_narrow_STAR_cisgenome_sambamba_test3_peaks,3651,Namani,with_control,narrow,STAR,cisgenome,sambamba,test3,peaks
Namani_with_control_narrow_STAR_cisgenome_samtools_test1_peaks,3651,Namani,with_control,narrow,STAR,cisgenome,samtools,test1,peaks
Namani_with_control_narrow_STAR_cisgenome_samtools_test2_peaks,3651,Namani,with_control,narrow,STAR,cisgenome,samtools,test2,peaks
Namani_with_control_narrow_STAR_cisgenome_samtools_test3_peaks,3651,Namani,with_control,narrow,STAR,cisgenome,samtools,test3,peaks
Namani_with_control_narrow_STAR_genrich_no_deduplication_test1_peaks,221952,Namani,with_control,narrow,STAR,genrich,no_deduplication,test1,peaks
Namani_with_control_narrow_STAR_genrich_no_deduplication_test2_peaks,221952,Namani,with_control,narrow,STAR,genrich,no_deduplication,test2,peaks
Namani_with_control_narrow_STAR_genrich_no_deduplication_test3_peaks,221952,Namani,with_control,narrow,STAR,genrich,no_deduplication,test3,peaks
Namani_with_control_narrow_STAR_genrich_picard_test1_peaks,151732,Namani,with_control,narrow,STAR,genrich,picard,test1,peaks
Namani_with_control_narrow_STAR_genrich_picard_test2_peaks,151732,Namani,with_control,narrow,STAR,genrich,picard,test2,peaks
Namani_with_control_narrow_STAR_genrich_picard_test3_peaks,151732,Namani,with_control,narrow,STAR,genrich,picard,test3,peaks
Namani_with_control_narrow_STAR_genrich_sambamba_test1_peaks,151732,Namani,with_control,narrow,STAR,genrich,sambamba,test1,peaks
Namani_with_control_narrow_STAR_genrich_sambamba_test2_peaks,151732,Namani,with_control,narrow,STAR,genrich,sambamba,test2,peaks
Namani_with_control_narrow_STAR_genrich_sambamba_test3_peaks,151732,Namani,with_control,narrow,STAR,genrich,sambamba,test3,peaks
Namani_with_control_narrow_STAR_genrich_samtools_test1_peaks,151732,Namani,with_control,narrow,STAR,genrich,samtools,test1,peaks
Namani_with_control_narrow_STAR_genrich_samtools_test2_peaks,151732,Namani,with_control,narrow,STAR,genrich,samtools,test2,peaks
Namani_with_control_narrow_STAR_genrich_samtools_test3_peaks,151732,Namani,with_control,narrow,STAR,genrich,samtools,test3,peaks
Namani_with_control_narrow_STAR_macs3_no_deduplication_test1_peaks,2209,Namani,with_control,narrow,STAR,macs3,no_deduplication,test1,peaks
Namani_with_control_narrow_STAR_macs3_no_deduplication_test2_peaks,2209,Namani,with_control,narrow,STAR,macs3,no_deduplication,test2,peaks
Namani_with_control_narrow_STAR_macs3_no_deduplication_test3_peaks,2209,Namani,with_control,narrow,STAR,macs3,no_deduplication,test3,peaks
Namani_with_control_narrow_STAR_macs3_picard_test1_peaks,2207,Namani,with_control,narrow,STAR,macs3,picard,test1,peaks
Namani_with_control_narrow_STAR_macs3_picard_test2_peaks,2207,Namani,with_control,narrow,STAR,macs3,picard,test2,peaks
Namani_with_control_narrow_STAR_macs3_picard_test3_peaks,2207,Namani,with_control,narrow,STAR,macs3,picard,test3,peaks
Namani_with_control_narrow_STAR_macs3_sambamba_test1_peaks,2207,Namani,with_control,narrow,STAR,macs3,sambamba,test1,peaks
Namani_with_control_narrow_STAR_macs3_sambamba_test2_peaks,2207,Namani,with_control,narrow,STAR,macs3,sambamba,test2,peaks
Namani_with_control_narrow_STAR_macs3_sambamba_test3_peaks,2207,Namani,with_control,narrow,STAR,macs3,sambamba,test3,peaks
Namani_with_control_narrow_STAR_macs3_samtools_test1_peaks,2207,Namani,with_control,narrow,STAR,macs3,samtools,test1,peaks
Namani_with_control_narrow_STAR_macs3_samtools_test2_peaks,2207,Namani,with_control,narrow,STAR,macs3,samtools,test2,peaks
Namani_with_control_narrow_STAR_macs3_samtools_test3_peaks,2207,Namani,with_control,narrow,STAR,macs3,samtools,test3,peaks
Namani_with_control_narrow_STAR_pepr_no_deduplication_test1_peaks,57,Namani,with_control,narrow,STAR,pepr,no_deduplication,test1,peaks
Namani_with_control_narrow_STAR_pepr_no_deduplication_test2_peaks,57,Namani,with_control,narrow,STAR,pepr,no_deduplication,test2,peaks
Namani_with_control_narrow_STAR_pepr_no_deduplication_test3_peaks,57,Namani,with_control,narrow,STAR,pepr,no_deduplication,test3,peaks
Namani_with_control_narrow_STAR_pepr_picard_test1_peaks,31,Namani,with_control,narrow,STAR,pepr,picard,test1,peaks
Namani_with_control_narrow_STAR_pepr_picard_test2_peaks,31,Namani,with_control,narrow,STAR,pepr,picard,test2,peaks
Namani_with_control_narrow_STAR_pepr_picard_test3_peaks,31,Namani,with_control,narrow,STAR,pepr,picard,test3,peaks
Namani_with_control_narrow_STAR_pepr_sambamba_test1_peaks,31,Namani,with_control,narrow,STAR,pepr,sambamba,test1,peaks
Namani_with_control_narrow_STAR_pepr_sambamba_test2_peaks,31,Namani,with_control,narrow,STAR,pepr,sambamba,test2,peaks
Namani_with_control_narrow_STAR_pepr_sambamba_test3_peaks,31,Namani,with_control,narrow,STAR,pepr,sambamba,test3,peaks
Namani_with_control_narrow_STAR_pepr_samtools_test1_peaks,31,Namani,with_control,narrow,STAR,pepr,samtools,test1,peaks
Namani_with_control_narrow_STAR_pepr_samtools_test2_peaks,31,Namani,with_control,narrow,STAR,pepr,samtools,test2,peaks
Namani_with_control_narrow_STAR_pepr_samtools_test3_peaks,31,Namani,with_control,narrow,STAR,pepr,samtools,test3,peaks
Namani_with_control_narrow_bowtie2_cisgenome_no_deduplication_test1_peaks,6314,Namani,with_control,narrow,bowtie2,cisgenome,no_deduplication,test1,peaks
Namani_with_control_narrow_bowtie2_cisgenome_no_deduplication_test2_peaks,6314,Namani,with_control,narrow,bowtie2,cisgenome,no_deduplication,test2,peaks
Namani_with_control_narrow_bowtie2_cisgenome_no_deduplication_test3_peaks,6314,Namani,with_control,narrow,bowtie2,cisgenome,no_deduplication,test3,peaks
Namani_with_control_narrow_bowtie2_cisgenome_picard_test1_peaks,3504,Namani,with_control,narrow,bowtie2,cisgenome,picard,test1,peaks
Namani_with_control_narrow_bowtie2_cisgenome_picard_test2_peaks,3504,Namani,with_control,narrow,bowtie2,cisgenome,picard,test2,peaks
Namani_with_control_narrow_bowtie2_cisgenome_picard_test3_peaks,3504,Namani,with_control,narrow,bowtie2,cisgenome,picard,test3,peaks
Namani_with_control_narrow_bowtie2_cisgenome_sambamba_test1_peaks,3504,Namani,with_control,narrow,bowtie2,cisgenome,sambamba,test1,peaks
Namani_with_control_narrow_bowtie2_cisgenome_sambamba_test2_peaks,3504,Namani,with_control,narrow,bowtie2,cisgenome,sambamba,test2,peaks
Namani_with_control_narrow_bowtie2_cisgenome_sambamba_test3_peaks,3504,Namani,with_control,narrow,bowtie2,cisgenome,sambamba,test3,peaks
Namani_with_control_narrow_bowtie2_cisgenome_samtools_test1_peaks,3504,Namani,with_control,narrow,bowtie2,cisgenome,samtools,test1,peaks
Namani_with_control_narrow_bowtie2_cisgenome_samtools_test2_peaks,3504,Namani,with_control,narrow,bowtie2,cisgenome,samtools,test2,peaks
Namani_with_control_narrow_bowtie2_cisgenome_samtools_test3_peaks,3504,Namani,with_control,narrow,bowtie2,cisgenome,samtools,test3,peaks
Namani_with_control_narrow_bowtie2_genrich_no_deduplication_test1_peaks,220036,Namani,with_control,narrow,bowtie2,genrich,no_deduplication,test1,peaks
Namani_with_control_narrow_bowtie2_genrich_no_deduplication_test2_peaks,220036,Namani,with_control,narrow,bowtie2,genrich,no_deduplication,test2,peaks
Namani_with_control_narrow_bowtie2_genrich_no_deduplication_test3_peaks,220036,Namani,with_control,narrow,bowtie2,genrich,no_deduplication,test3,peaks
Namani_with_control_narrow_bowtie2_genrich_picard_test1_peaks,156761,Namani,with_control,narrow,bowtie2,genrich,picard,test1,peaks
Namani_with_control_narrow_bowtie2_genrich_picard_test2_peaks,156761,Namani,with_control,narrow,bowtie2,genrich,picard,test2,peaks
Namani_with_control_narrow_bowtie2_genrich_picard_test3_peaks,156761,Namani,with_control,narrow,bowtie2,genrich,picard,test3,peaks
Namani_with_control_narrow_bowtie2_genrich_sambamba_test1_peaks,156761,Namani,with_control,narrow,bowtie2,genrich,sambamba,test1,peaks
Namani_with_control_narrow_bowtie2_genrich_sambamba_test2_peaks,156761,Namani,with_control,narrow,bowtie2,genrich,sambamba,test2,peaks
Namani_with_control_narrow_bowtie2_genrich_sambamba_test3_peaks,156761,Namani,with_control,narrow,bowtie2,genrich,sambamba,test3,peaks
Namani_with_control_narrow_bowtie2_genrich_samtools_test1_peaks,156761,Namani,with_control,narrow,bowtie2,genrich,samtools,test1,peaks
Namani_with_control_narrow_bowtie2_genrich_samtools_test2_peaks,156761,Namani,with_control,narrow,bowtie2,genrich,samtools,test2,peaks
Namani_with_control_narrow_bowtie2_genrich_samtools_test3_peaks,156761,Namani,with_control,narrow,bowtie2,genrich,samtools,test3,peaks
Namani_with_control_narrow_bowtie2_macs3_no_deduplication_test1_peaks,2133,Namani,with_control,narrow,bowtie2,macs3,no_deduplication,test1,peaks
Namani_with_control_narrow_bowtie2_macs3_no_deduplication_test2_peaks,2133,Namani,with_control,narrow,bowtie2,macs3,no_deduplication,test2,peaks
Namani_with_control_narrow_bowtie2_macs3_no_deduplication_test3_peaks,2133,Namani,with_control,narrow,bowtie2,macs3,no_deduplication,test3,peaks
Namani_with_control_narrow_bowtie2_macs3_picard_test1_peaks,2133,Namani,with_control,narrow,bowtie2,macs3,picard,test1,peaks
Namani_with_control_narrow_bowtie2_macs3_picard_test2_peaks,2133,Namani,with_control,narrow,bowtie2,macs3,picard,test2,peaks
Namani_with_control_narrow_bowtie2_macs3_picard_test3_peaks,2133,Namani,with_control,narrow,bowtie2,macs3,picard,test3,peaks
Namani_with_control_narrow_bowtie2_macs3_sambamba_test1_peaks,2133,Namani,with_control,narrow,bowtie2,macs3,sambamba,test1,peaks
Namani_with_control_narrow_bowtie2_macs3_sambamba_test2_peaks,2133,Namani,with_control,narrow,bowtie2,macs3,sambamba,test2,peaks
Namani_with_control_narrow_bowtie2_macs3_sambamba_test3_peaks,2133,Namani,with_control,narrow,bowtie2,macs3,sambamba,test3,peaks
Namani_with_control_narrow_bowtie2_macs3_samtools_test1_peaks,2133,Namani,with_control,narrow,bowtie2,macs3,samtools,test1,peaks
Namani_with_control_narrow_bowtie2_macs3_samtools_test2_peaks,2133,Namani,with_control,narrow,bowtie2,macs3,samtools,test2,peaks
Namani_with_control_narrow_bowtie2_macs3_samtools_test3_peaks,2133,Namani,with_control,narrow,bowtie2,macs3,samtools,test3,peaks
Namani_with_control_narrow_bowtie2_pepr_no_deduplication_test1_peaks,62,Namani,with_control,narrow,bowtie2,pepr,no_deduplication,test1,peaks
Namani_with_control_narrow_bowtie2_pepr_no_deduplication_test2_peaks,62,Namani,with_control,narrow,bowtie2,pepr,no_deduplication,test2,peaks
Namani_with_control_narrow_bowtie2_pepr_no_deduplication_test3_peaks,62,Namani,with_control,narrow,bowtie2,pepr,no_deduplication,test3,peaks
Namani_with_control_narrow_bowtie2_pepr_picard_test1_peaks,30,Namani,with_control,narrow,bowtie2,pepr,picard,test1,peaks
Namani_with_control_narrow_bowtie2_pepr_picard_test2_peaks,30,Namani,with_control,narrow,bowtie2,pepr,picard,test2,peaks
Namani_with_control_narrow_bowtie2_pepr_picard_test3_peaks,30,Namani,with_control,narrow,bowtie2,pepr,picard,test3,peaks
Namani_with_control_narrow_bowtie2_pepr_sambamba_test1_peaks,30,Namani,with_control,narrow,bowtie2,pepr,sambamba,test1,peaks
Namani_with_control_narrow_bowtie2_pepr_sambamba_test2_peaks,30,Namani,with_control,narrow,bowtie2,pepr,sambamba,test2,peaks
Namani_with_control_narrow_bowtie2_pepr_sambamba_test3_peaks,30,Namani,with_control,narrow,bowtie2,pepr,sambamba,test3,peaks
Namani_with_control_narrow_bowtie2_pepr_samtools_test1_peaks,30,Namani,with_control,narrow,bowtie2,pepr,samtools,test1,peaks
Namani_with_control_narrow_bowtie2_pepr_samtools_test2_peaks,30,Namani,with_control,narrow,bowtie2,pepr,samtools,test2,peaks
Namani_with_control_narrow_bowtie2_pepr_samtools_test3_peaks,30,Namani,with_control,narrow,bowtie2,pepr,samtools,test3,peaks
Namani_with_control_narrow_bwa_mem_cisgenome_no_deduplication_test1_peaks,6359,Namani,with_control,narrow,bwa_mem,cisgenome,no_deduplication,test1,peaks
Namani_with_control_narrow_bwa_mem_cisgenome_no_deduplication_test2_peaks,6359,Namani,with_control,narrow,bwa_mem,cisgenome,no_deduplication,test2,peaks
Namani_with_control_narrow_bwa_mem_cisgenome_no_deduplication_test3_peaks,6359,Namani,with_control,narrow,bwa_mem,cisgenome,no_deduplication,test3,peaks
Namani_with_control_narrow_bwa_mem_cisgenome_picard_test1_peaks,3581,Namani,with_control,narrow,bwa_mem,cisgenome,picard,test1,peaks
Namani_with_control_narrow_bwa_mem_cisgenome_picard_test2_peaks,3581,Namani,with_control,narrow,bwa_mem,cisgenome,picard,test2,peaks
Namani_with_control_narrow_bwa_mem_cisgenome_picard_test3_peaks,3581,Namani,with_control,narrow,bwa_mem,cisgenome,picard,test3,peaks
Namani_with_control_narrow_bwa_mem_cisgenome_sambamba_test1_peaks,3581,Namani,with_control,narrow,bwa_mem,cisgenome,sambamba,test1,peaks
Namani_with_control_narrow_bwa_mem_cisgenome_sambamba_test2_peaks,3581,Namani,with_control,narrow,bwa_mem,cisgenome,sambamba,test2,peaks
Namani_with_control_narrow_bwa_mem_cisgenome_sambamba_test3_peaks,3581,Namani,with_control,narrow,bwa_mem,cisgenome,sambamba,test3,peaks
Namani_with_control_narrow_bwa_mem_cisgenome_samtools_test1_peaks,3581,Namani,with_control,narrow,bwa_mem,cisgenome,samtools,test1,peaks
Namani_with_control_narrow_bwa_mem_cisgenome_samtools_test2_peaks,3581,Namani,with_control,narrow,bwa_mem,cisgenome,samtools,test2,peaks
Namani_with_control_narrow_bwa_mem_cisgenome_samtools_test3_peaks,3581,Namani,with_control,narrow,bwa_mem,cisgenome,samtools,test3,peaks
Namani_with_control_narrow_bwa_mem_genrich_no_deduplication_test1_peaks,221317,Namani,with_control,narrow,bwa_mem,genrich,no_deduplication,test1,peaks
Namani_with_control_narrow_bwa_mem_genrich_no_deduplication_test2_peaks,221317,Namani,with_control,narrow,bwa_mem,genrich,no_deduplication,test2,peaks
Namani_with_control_narrow_bwa_mem_genrich_no_deduplication_test3_peaks,221317,Namani,with_control,narrow,bwa_mem,genrich,no_deduplication,test3,peaks
Namani_with_control_narrow_bwa_mem_genrich_picard_test1_peaks,157964,Namani,with_control,narrow,bwa_mem,genrich,picard,test1,peaks
