Filename,Peak_Counts,Project,Control,Peak_Type,Aligner,Peak_Caller,Deduplicator,Test,Peaks
Namani_no_control_broad_bowtie2_macs3_samtools_test3_peaks,3665,Namani,no_control,broad,bowtie2,macs3,samtools,test3,peaks
Namani_no_control_broad_bwa_mem_genrich_no_deduplication_test1_peaks,314155,Namani,no_control,broad,bwa_mem,genrich,no_deduplication,test1,peaks
Namani_no_control_broad_bwa_mem_genrich_no_deduplication_test2_peaks,314155,Namani,no_control,broad,bwa_mem,genrich,no_deduplication,test2,peaks
Namani_no_control_broad_bwa_mem_genrich_no_deduplication_test3_peaks,314155,Namani,no_control,broad,bwa_mem,genrich,no_deduplication,test3,peaks
Namani_no_control_broad_bwa_mem_genrich_picard_test1_peaks,226442,Namani,no_control,broad,bwa_mem,genrich,picard,test1,peaks
Namani_no_control_broad_bwa_mem_genrich_picard_test2_peaks,226442,Namani,no_control,broad,bwa_mem,genrich,picard,test2,peaks
Namani_no_control_broad_bwa_mem_genrich_picard_test3_peaks,226442,Namani,no_control,broad,bwa_mem,genrich,picard,test3,peaks
Namani_no_control_broad_bwa_mem_genrich_sambamba_test1_peaks,226442,Namani,no_control,broad,bwa_mem,genrich,sambamba,test1,peaks
Namani_no_control_broad_bwa_mem_genrich_sambamba_test2_peaks,226442,Namani,no_control,broad,bwa_mem,genrich,sambamba,test2,peaks
Namani_no_control_broad_bwa_mem_genrich_sambamba_test3_peaks,226442,Namani,no_control,broad,bwa_mem,genrich,sambamba,test3,peaks
Namani_no_control_broad_bwa_mem_genrich_samtools_test1_peaks,226442,Namani,no_control,broad,bwa_mem,genrich,samtools,test1,peaks
Namani_no_control_broad_bwa_mem_genrich_samtools_test2_peaks,226442,Namani,no_control,broad,bwa_mem,genrich,samtools,test2,peaks
Namani_no_control_broad_bwa_mem_genrich_samtools_test3_peaks,226442,Namani,no_control,broad,bwa_mem,genrich,samtools,test3,peaks
Namani_no_control_broad_bwa_mem_macs3_no_deduplication_test1_peaks,3730,Namani,no_control,broad,bwa_mem,macs3,no_deduplication,test1,peaks
Namani_no_control_broad_bwa_mem_macs3_no_deduplication_test2_peaks,3730,Namani,no_control,broad,bwa_mem,macs3,no_deduplication,test2,peaks
Namani_no_control_broad_bwa_mem_macs3_no_deduplication_test3_peaks,3730,Namani,no_control,broad,bwa_mem,macs3,no_deduplication,test3,peaks
Namani_no_control_broad_bwa_mem_macs3_picard_test1_peaks,3724,Namani,no_control,broad,bwa_mem,macs3,picard,test1,peaks
Namani_no_control_broad_bwa_mem_macs3_picard_test2_peaks,3724,Namani,no_control,broad,bwa_mem,macs3,picard,test2,peaks
Namani_no_control_broad_bwa_mem_macs3_picard_test3_peaks,3724,Namani,no_control,broad,bwa_mem,macs3,picard,test3,peaks
Namani_no_control_broad_bwa_mem_macs3_sambamba_test1_peaks,3724,Namani,no_control,broad,bwa_mem,macs3,sambamba,test1,peaks
Namani_no_control_broad_bwa_mem_macs3_sambamba_test2_peaks,3724,Namani,no_control,broad,bwa_mem,macs3,sambamba,test2,peaks
Namani_no_control_broad_bwa_mem_macs3_sambamba_test3_peaks,3724,Namani,no_control,broad,bwa_mem,macs3,sambamba,test3,peaks
Namani_no_control_broad_bwa_mem_macs3_samtools_test1_peaks,3724,Namani,no_control,broad,bwa_mem,macs3,samtools,test1,peaks
Namani_no_control_broad_bwa_mem_macs3_samtools_test2_peaks,3724,Namani,no_control,broad,bwa_mem,macs3,samtools,test2,peaks
Namani_no_control_broad_bwa_mem_macs3_samtools_test3_peaks,3724,Namani,no_control,broad,bwa_mem,macs3,samtools,test3,peaks
Namani_no_control_narrow_STAR_genrich_no_deduplication_test1_peaks,308549,Namani,no_control,narrow,STAR,genrich,no_deduplication,test1,peaks
Namani_no_control_narrow_STAR_genrich_no_deduplication_test2_peaks,308549,Namani,no_control,narrow,STAR,genrich,no_deduplication,test2,peaks
Namani_no_control_narrow_STAR_genrich_no_deduplication_test3_peaks,308549,Namani,no_control,narrow,STAR,genrich,no_deduplication,test3,peaks
Namani_no_control_narrow_STAR_genrich_picard_test1_peaks,216046,Namani,no_control,narrow,STAR,genrich,picard,test1,peaks
Namani_no_control_narrow_STAR_genrich_picard_test2_peaks,216046,Namani,no_control,narrow,STAR,genrich,picard,test2,peaks
Namani_no_control_narrow_STAR_genrich_picard_test3_peaks,216046,Namani,no_control,narrow,STAR,genrich,picard,test3,peaks
Namani_no_control_narrow_STAR_genrich_sambamba_test1_peaks,216046,Namani,no_control,narrow,STAR,genrich,sambamba,test1,peaks
Namani_no_control_narrow_STAR_genrich_sambamba_test2_peaks,216046,Namani,no_control,narrow,STAR,genrich,sambamba,test2,peaks
Namani_no_control_narrow_STAR_genrich_sambamba_test3_peaks,216046,Namani,no_control,narrow,STAR,genrich,sambamba,test3,peaks
Namani_no_control_narrow_STAR_genrich_samtools_test1_peaks,216046,Namani,no_control,narrow,STAR,genrich,samtools,test1,peaks
Namani_no_control_narrow_STAR_genrich_samtools_test2_peaks,216046,Namani,no_control,narrow,STAR,genrich,samtools,test2,peaks
Namani_no_control_narrow_STAR_genrich_samtools_test3_peaks,216046,Namani,no_control,narrow,STAR,genrich,samtools,test3,peaks
Namani_no_control_narrow_STAR_macs3_no_deduplication_test1_peaks,2925,Namani,no_control,narrow,STAR,macs3,no_deduplication,test1,peaks
Namani_no_control_narrow_STAR_macs3_no_deduplication_test2_peaks,2925,Namani,no_control,narrow,STAR,macs3,no_deduplication,test2,peaks
Namani_no_control_narrow_STAR_macs3_no_deduplication_test3_peaks,2925,Namani,no_control,narrow,STAR,macs3,no_deduplication,test3,peaks
Namani_no_control_narrow_STAR_macs3_picard_test1_peaks,2889,Namani,no_control,narrow,STAR,macs3,picard,test1,peaks
Namani_no_control_narrow_STAR_macs3_picard_test2_peaks,2889,Namani,no_control,narrow,STAR,macs3,picard,test2,peaks
Namani_no_control_narrow_STAR_macs3_picard_test3_peaks,2889,Namani,no_control,narrow,STAR,macs3,picard,test3,peaks
Namani_no_control_narrow_STAR_macs3_sambamba_test1_peaks,2889,Namani,no_control,narrow,STAR,macs3,sambamba,test1,peaks
Namani_no_control_narrow_STAR_macs3_sambamba_test2_peaks,2889,Namani,no_control,narrow,STAR,macs3,sambamba,test2,peaks
Namani_no_control_narrow_STAR_macs3_sambamba_test3_peaks,2889,Namani,no_control,narrow,STAR,macs3,sambamba,test3,peaks
Namani_no_control_narrow_STAR_macs3_samtools_test1_peaks,2889,Namani,no_control,narrow,STAR,macs3,samtools,test1,peaks
Namani_no_control_narrow_STAR_macs3_samtools_test2_peaks,2889,Namani,no_control,narrow,STAR,macs3,samtools,test2,peaks
Namani_no_control_narrow_STAR_macs3_samtools_test3_peaks,2889,Namani,no_control,narrow,STAR,macs3,samtools,test3,peaks
Namani_no_control_narrow_bowtie2_genrich_no_deduplication_test1_peaks,311949,Namani,no_control,narrow,bowtie2,genrich,no_deduplication,test1,peaks
Namani_no_control_narrow_bowtie2_genrich_no_deduplication_test2_peaks,311949,Namani,no_control,narrow,bowtie2,genrich,no_deduplication,test2,peaks
Namani_no_control_narrow_bowtie2_genrich_no_deduplication_test3_peaks,311949,Namani,no_control,narrow,bowtie2,genrich,no_deduplication,test3,peaks
Namani_no_control_narrow_bowtie2_genrich_picard_test1_peaks,224136,Namani,no_control,narrow,bowtie2,genrich,picard,test1,peaks
Namani_no_control_narrow_bowtie2_genrich_picard_test2_peaks,224136,Namani,no_control,narrow,bowtie2,genrich,picard,test2,peaks
Namani_no_control_narrow_bowtie2_genrich_picard_test3_peaks,224136,Namani,no_control,narrow,bowtie2,genrich,picard,test3,peaks
Namani_no_control_narrow_bowtie2_genrich_sambamba_test1_peaks,224136,Namani,no_control,narrow,bowtie2,genrich,sambamba,test1,peaks
Namani_no_control_narrow_bowtie2_genrich_sambamba_test2_peaks,224136,Namani,no_control,narrow,bowtie2,genrich,sambamba,test2,peaks
Namani_no_control_narrow_bowtie2_genrich_sambamba_test3_peaks,224136,Namani,no_control,narrow,bowtie2,genrich,sambamba,test3,peaks
Namani_no_control_narrow_bowtie2_genrich_samtools_test1_peaks,224136,Namani,no_control,narrow,bowtie2,genrich,samtools,test1,peaks
Namani_no_control_narrow_bowtie2_genrich_samtools_test2_peaks,224136,Namani,no_control,narrow,bowtie2,genrich,samtools,test2,peaks
Namani_no_control_narrow_bowtie2_genrich_samtools_test3_peaks,224136,Namani,no_control,narrow,bowtie2,genrich,samtools,test3,peaks
Namani_no_control_narrow_bowtie2_macs3_no_deduplication_test1_peaks,2808,Namani,no_control,narrow,bowtie2,macs3,no_deduplication,test1,peaks
Namani_no_control_narrow_bowtie2_macs3_no_deduplication_test2_peaks,2808,Namani,no_control,narrow,bowtie2,macs3,no_deduplication,test2,peaks
Namani_no_control_narrow_bowtie2_macs3_no_deduplication_test3_peaks,2808,Namani,no_control,narrow,bowtie2,macs3,no_deduplication,test3,peaks
Namani_no_control_narrow_bowtie2_macs3_picard_test1_peaks,2808,Namani,no_control,narrow,bowtie2,macs3,picard,test1,peaks
Namani_no_control_narrow_bowtie2_macs3_picard_test2_peaks,2808,Namani,no_control,narrow,bowtie2,macs3,picard,test2,peaks
Namani_no_control_narrow_bowtie2_macs3_picard_test3_peaks,2808,Namani,no_control,narrow,bowtie2,macs3,picard,test3,peaks
Namani_no_control_narrow_bowtie2_macs3_sambamba_test1_peaks,2808,Namani,no_control,narrow,bowtie2,macs3,sambamba,test1,peaks
Namani_no_control_narrow_bowtie2_macs3_sambamba_test2_peaks,2808,Namani,no_control,narrow,bowtie2,macs3,sambamba,test2,peaks
Namani_no_control_narrow_bowtie2_macs3_sambamba_test3_peaks,2808,Namani,no_control,narrow,bowtie2,macs3,sambamba,test3,peaks
Namani_no_control_narrow_bowtie2_macs3_samtools_test1_peaks,2808,Namani,no_control,narrow,bowtie2,macs3,samtools,test1,peaks
Namani_no_control_narrow_bowtie2_macs3_samtools_test2_peaks,2808,Namani,no_control,narrow,bowtie2,macs3,samtools,test2,peaks
Namani_no_control_narrow_bowtie2_macs3_samtools_test3_peaks,2808,Namani,no_control,narrow,bowtie2,macs3,samtools,test3,peaks
Namani_no_control_narrow_bwa_mem_genrich_no_deduplication_test1_peaks,314155,Namani,no_control,narrow,bwa_mem,genrich,no_deduplication,test1,peaks
Namani_no_control_narrow_bwa_mem_genrich_no_deduplication_test2_peaks,314155,Namani,no_control,narrow,bwa_mem,genrich,no_deduplication,test2,peaks
Namani_no_control_narrow_bwa_mem_genrich_no_deduplication_test3_peaks,314155,Namani,no_control,narrow,bwa_mem,genrich,no_deduplication,test3,peaks
Namani_no_control_narrow_bwa_mem_genrich_picard_test1_peaks,226442,Namani,no_control,narrow,bwa_mem,genrich,picard,test1,peaks
Namani_no_control_narrow_bwa_mem_genrich_picard_test2_peaks,226442,Namani,no_control,narrow,bwa_mem,genrich,picard,test2,peaks
Namani_no_control_narrow_bwa_mem_genrich_picard_test3_peaks,226442,Namani,no_control,narrow,bwa_mem,genrich,picard,test3,peaks
Namani_no_control_narrow_bwa_mem_genrich_sambamba_test1_peaks,226442,Namani,no_control,narrow,bwa_mem,genrich,sambamba,test1,peaks
Namani_no_control_narrow_bwa_mem_genrich_sambamba_test2_peaks,226442,Namani,no_control,narrow,bwa_mem,genrich,sambamba,test2,peaks
Namani_no_control_narrow_bwa_mem_genrich_sambamba_test3_peaks,226442,Namani,no_control,narrow,bwa_mem,genrich,sambamba,test3,peaks
Namani_no_control_narrow_bwa_mem_genrich_samtools_test1_peaks,226442,Namani,no_control,narrow,bwa_mem,genrich,samtools,test1,peaks
Namani_no_control_narrow_bwa_mem_genrich_samtools_test2_peaks,226442,Namani,no_control,narrow,bwa_mem,genrich,samtools,test2,peaks
Namani_no_control_narrow_bwa_mem_genrich_samtools_test3_peaks,226442,Namani,no_control,narrow,bwa_mem,genrich,samtools,test3,peaks
Namani_no_control_narrow_bwa_mem_macs3_no_deduplication_test1_peaks,2861,Namani,no_control,narrow,bwa_mem,macs3,no_deduplication,test1,peaks
Namani_no_control_narrow_bwa_mem_macs3_no_deduplication_test2_peaks,2861,Namani,no_control,narrow,bwa_mem,macs3,no_deduplication,test2,peaks
Namani_no_control_narrow_bwa_mem_macs3_no_deduplication_test3_peaks,2861,Namani,no_control,narrow,bwa_mem,macs3,no_deduplication,test3,peaks
Namani_no_control_narrow_bwa_mem_macs3_picard_test1_peaks,2850,Namani,no_control,narrow,bwa_mem,macs3,picard,test1,peaks
Namani_no_control_narrow_bwa_mem_macs3_picard_test2_peaks,2850,Namani,no_control,narrow,bwa_mem,macs3,picard,test2,peaks
Namani_no_control_narrow_bwa_mem_macs3_picard_test3_peaks,2850,Namani,no_control,narrow,bwa_mem,macs3,picard,test3,peaks
Namani_no_control_narrow_bwa_mem_macs3_sambamba_test1_peaks,2850,Namani,no_control,narrow,bwa_mem,macs3,sambamba,test1,peaks
Namani_no_control_narrow_bwa_mem_macs3_sambamba_test2_peaks,2850,Namani,no_control,narrow,bwa_mem,macs3,sambamba,test2,peaks
Namani_no_control_narrow_bwa_mem_macs3_sambamba_test3_peaks,2850,Namani,no_control,narrow,bwa_mem,macs3,sambamba,test3,peaks
Namani_no_control_narrow_bwa_mem_macs3_samtools_test1_peaks,2850,Namani,no_control,narrow,bwa_mem,macs3,samtools,test1,peaks
Namani_no_control_narrow_bwa_mem_macs3_samtools_test2_peaks,2850,Namani,no_control,narrow,bwa_mem,macs3,samtools,test2,peaks
Namani_no_control_narrow_bwa_mem_macs3_samtools_test3_peaks,2850,Namani,no_control,narrow,bwa_mem,macs3,samtools,test3,peaks
Namani_with_control_broad_STAR_cisgenome_no_deduplication_test1_peaks,6745,Namani,with_control,broad,STAR,cisgenome,no_deduplication,test1,peaks
Namani_with_control_broad_STAR_cisgenome_no_deduplication_test2_peaks,6745,Namani,with_control,broad,STAR,cisgenome,no_deduplication,test2,peaks
Namani_with_control_broad_STAR_cisgenome_no_deduplication_test3_peaks,6745,Namani,with_control,broad,STAR,cisgenome,no_deduplication,test3,peaks
Namani_with_control_broad_STAR_cisgenome_picard_test1_peaks,3651,Namani,with_control,broad,STAR,cisgenome,picard,test1,peaks
Namani_with_control_broad_STAR_cisgenome_picard_test2_peaks,3651,Namani,with_control,broad,STAR,cisgenome,picard,test2,peaks
Namani_with_control_broad_STAR_cisgenome_picard_test3_peaks,3651,Namani,with_control,broad,STAR,cisgenome,picard,test3,peaks
Namani_with_control_broad_STAR_cisgenome_sambamba_test1_peaks,3651,Namani,with_control,broad,STAR,cisgenome,sambamba,test1,peaks
Namani_with_control_broad_STAR_cisgenome_sambamba_test2_peaks,3651,Namani,with_control,broad,STAR,cisgenome,sambamba,test2,peaks
Namani_with_control_broad_STAR_cisgenome_sambamba_test3_peaks,3651,Namani,with_control,broad,STAR,cisgenome,sambamba,test3,peaks
Namani_with_control_broad_STAR_cisgenome_samtools_test1_peaks,3651,Namani,with_control,broad,STAR,cisgenome,samtools,test1,peaks
Namani_with_control_broad_STAR_cisgenome_samtools_test2_peaks,3651,Namani,with_control,broad,STAR,cisgenome,samtools,test2,peaks
Namani_with_control_broad_STAR_cisgenome_samtools_test3_peaks,3651,Namani,with_control,broad,STAR,cisgenome,samtools,test3,peaks
Namani_with_control_broad_STAR_genrich_no_deduplication_test1_peaks,221952,Namani,with_control,broad,STAR,genrich,no_deduplication,test1,peaks
Namani_with_control_broad_STAR_genrich_no_deduplication_test2_peaks,221952,Namani,with_control,broad,STAR,genrich,no_deduplication,test2,peaks
Namani_with_control_broad_STAR_genrich_no_deduplication_test3_peaks,221952,Namani,with_control,broad,STAR,genrich,no_deduplication,test3,peaks
Namani_with_control_broad_STAR_genrich_picard_test1_peaks,151732,Namani,with_control,broad,STAR,genrich,picard,test1,peaks
Namani_with_control_broad_STAR_genrich_picard_test2_peaks,151732,Namani,with_control,broad,STAR,genrich,picard,test2,peaks
Namani_with_control_broad_STAR_genrich_picard_test3_peaks,151732,Namani,with_control,broad,STAR,genrich,picard,test3,peaks
Namani_with_control_broad_STAR_genrich_sambamba_test1_peaks,151732,Namani,with_control,broad,STAR,genrich,sambamba,test1,peaks
Namani_with_control_broad_STAR_genrich_sambamba_test2_peaks,151732,Namani,with_control,broad,STAR,genrich,sambamba,test2,peaks
Namani_with_control_broad_STAR_genrich_sambamba_test3_peaks,151732,Namani,with_control,broad,STAR,genrich,sambamba,test3,peaks
Namani_with_control_broad_STAR_genrich_samtools_test1_peaks,151732,Namani,with_control,broad,STAR,genrich,samtools,test1,peaks
Namani_with_control_broad_STAR_genrich_samtools_test2_peaks,151732,Namani,with_control,broad,STAR,genrich,samtools,test2,peaks
Namani_with_control_broad_STAR_genrich_samtools_test3_peaks,151732,Namani,with_control,broad,STAR,genrich,samtools,test3,peaks
Namani_with_control_broad_STAR_macs3_no_deduplication_test1_peaks,3297,Namani,with_control,broad,STAR,macs3,no_deduplication,test1,peaks
Namani_with_control_broad_STAR_macs3_no_deduplication_test2_peaks,3297,Namani,with_control,broad,STAR,macs3,no_deduplication,test2,peaks
Namani_with_control_broad_STAR_macs3_no_deduplication_test3_peaks,3297,Namani,with_control,broad,STAR,macs3,no_deduplication,test3,peaks
Namani_with_control_broad_STAR_macs3_picard_test1_peaks,3296,Namani,with_control,broad,STAR,macs3,picard,test1,peaks
Namani_with_control_broad_STAR_macs3_picard_test2_peaks,3296,Namani,with_control,broad,STAR,macs3,picard,test2,peaks
Namani_with_control_broad_STAR_macs3_picard_test3_peaks,3296,Namani,with_control,broad,STAR,macs3,picard,test3,peaks
Namani_with_control_broad_STAR_macs3_sambamba_test1_peaks,3296,Namani,with_control,broad,STAR,macs3,sambamba,test1,peaks
Namani_with_control_broad_STAR_macs3_sambamba_test2_peaks,3296,Namani,with_control,broad,STAR,macs3,sambamba,test2,peaks
Namani_with_control_broad_STAR_macs3_sambamba_test3_peaks,3296,Namani,with_control,broad,STAR,macs3,sambamba,test3,peaks
Namani_with_control_broad_STAR_macs3_samtools_test1_peaks,3296,Namani,with_control,broad,STAR,macs3,samtools,test1,peaks
Namani_with_control_broad_STAR_macs3_samtools_test2_peaks,3296,Namani,with_control,broad,STAR,macs3,samtools,test2,peaks
Namani_with_control_broad_STAR_macs3_samtools_test3_peaks,3296,Namani,with_control,broad,STAR,macs3,samtools,test3,peaks
Namani_with_control_broad_STAR_pepr_no_deduplication_test1_peaks,57,Namani,with_control,broad,STAR,pepr,no_deduplication,test1,peaks
Namani_with_control_broad_STAR_pepr_no_deduplication_test2_peaks,57,Namani,with_control,broad,STAR,pepr,no_deduplication,test2,peaks
Namani_with_control_broad_STAR_pepr_no_deduplication_test3_peaks,57,Namani,with_control,broad,STAR,pepr,no_deduplication,test3,peaks
