File Name,Project,Control,Peak Type,Aligner,Peak Caller,Deduplicator,Test,Peak Counts
Namani_no_control_broad_bwa_mem_genrich_no_deduplication_test3_peaks,Namani,no_control,broad,bwa_mem,genrich,no_deduplication,test3,314155
Namani_no_control_broad_bwa_mem_genrich_picard_test1_peaks,Namani,no_control,broad,bwa_mem,genrich,picard,test1,226442
Namani_no_control_broad_bwa_mem_genrich_picard_test2_peaks,Namani,no_control,broad,bwa_mem,genrich,picard,test2,226442
Namani_no_control_broad_bwa_mem_genrich_picard_test3_peaks,Namani,no_control,broad,bwa_mem,genrich,picard,test3,226442
Namani_no_control_broad_bwa_mem_genrich_sambamba_test1_peaks,Namani,no_control,broad,bwa_mem,genrich,sambamba,test1,226442
Namani_no_control_broad_bwa_mem_genrich_sambamba_test2_peaks,Namani,no_control,broad,bwa_mem,genrich,sambamba,test2,226442
Namani_no_control_broad_bwa_mem_genrich_sambamba_test3_peaks,Namani,no_control,broad,bwa_mem,genrich,sambamba,test3,226442
Namani_no_control_broad_bwa_mem_genrich_samtools_test1_peaks,Namani,no_control,broad,bwa_mem,genrich,samtools,test1,226442
Namani_no_control_broad_bwa_mem_genrich_samtools_test2_peaks,Namani,no_control,broad,bwa_mem,genrich,samtools,test2,226442
Namani_no_control_broad_bwa_mem_genrich_samtools_test3_peaks,Namani,no_control,broad,bwa_mem,genrich,samtools,test3,226442
Namani_no_control_broad_bwa_mem_macs3_no_deduplication_test1_peaks,Namani,no_control,broad,bwa_mem,macs3,no_deduplication,test1,3730
Namani_no_control_broad_bwa_mem_macs3_no_deduplication_test2_peaks,Namani,no_control,broad,bwa_mem,macs3,no_deduplication,test2,3730
Namani_no_control_broad_bwa_mem_macs3_no_deduplication_test3_peaks,Namani,no_control,broad,bwa_mem,macs3,no_deduplication,test3,3730
Namani_no_control_broad_bwa_mem_macs3_picard_test1_peaks,Namani,no_control,broad,bwa_mem,macs3,picard,test1,3724
Namani_no_control_broad_bwa_mem_macs3_picard_test2_peaks,Namani,no_control,broad,bwa_mem,macs3,picard,test2,3724
Namani_no_control_broad_bwa_mem_macs3_picard_test3_peaks,Namani,no_control,broad,bwa_mem,macs3,picard,test3,3724
Namani_no_control_broad_bwa_mem_macs3_sambamba_test1_peaks,Namani,no_control,broad,bwa_mem,macs3,sambamba,test1,3724
Namani_no_control_broad_bwa_mem_macs3_sambamba_test2_peaks,Namani,no_control,broad,bwa_mem,macs3,sambamba,test2,3724
Namani_no_control_broad_bwa_mem_macs3_sambamba_test3_peaks,Namani,no_control,broad,bwa_mem,macs3,sambamba,test3,3724
Namani_no_control_broad_bwa_mem_macs3_samtools_test1_peaks,Namani,no_control,broad,bwa_mem,macs3,samtools,test1,3724
Namani_no_control_broad_bwa_mem_macs3_samtools_test2_peaks,Namani,no_control,broad,bwa_mem,macs3,samtools,test2,3724
Namani_no_control_broad_bwa_mem_macs3_samtools_test3_peaks,Namani,no_control,broad,bwa_mem,macs3,samtools,test3,3724
Namani_no_control_narrow_STAR_genrich_no_deduplication_test1_peaks,Namani,no_control,narrow,STAR,genrich,no_deduplication,test1,308549
Namani_no_control_narrow_STAR_genrich_no_deduplication_test2_peaks,Namani,no_control,narrow,STAR,genrich,no_deduplication,test2,308549
Namani_no_control_narrow_STAR_genrich_no_deduplication_test3_peaks,Namani,no_control,narrow,STAR,genrich,no_deduplication,test3,308549
Namani_no_control_narrow_STAR_genrich_picard_test1_peaks,Namani,no_control,narrow,STAR,genrich,picard,test1,216046
Namani_no_control_narrow_STAR_genrich_picard_test2_peaks,Namani,no_control,narrow,STAR,genrich,picard,test2,216046
Namani_no_control_narrow_STAR_genrich_picard_test3_peaks,Namani,no_control,narrow,STAR,genrich,picard,test3,216046
Namani_no_control_narrow_STAR_genrich_sambamba_test1_peaks,Namani,no_control,narrow,STAR,genrich,sambamba,test1,216046
Namani_no_control_narrow_STAR_genrich_sambamba_test2_peaks,Namani,no_control,narrow,STAR,genrich,sambamba,test2,216046
Namani_no_control_narrow_STAR_genrich_sambamba_test3_peaks,Namani,no_control,narrow,STAR,genrich,sambamba,test3,216046
Namani_no_control_narrow_STAR_genrich_samtools_test1_peaks,Namani,no_control,narrow,STAR,genrich,samtools,test1,216046
Namani_no_control_narrow_STAR_genrich_samtools_test2_peaks,Namani,no_control,narrow,STAR,genrich,samtools,test2,216046
Namani_no_control_narrow_STAR_genrich_samtools_test3_peaks,Namani,no_control,narrow,STAR,genrich,samtools,test3,216046
Namani_no_control_narrow_STAR_macs3_no_deduplication_test1_peaks,Namani,no_control,narrow,STAR,macs3,no_deduplication,test1,2925
Namani_no_control_narrow_STAR_macs3_no_deduplication_test2_peaks,Namani,no_control,narrow,STAR,macs3,no_deduplication,test2,2925
Namani_no_control_narrow_STAR_macs3_no_deduplication_test3_peaks,Namani,no_control,narrow,STAR,macs3,no_deduplication,test3,2925
Namani_no_control_narrow_STAR_macs3_picard_test1_peaks,Namani,no_control,narrow,STAR,macs3,picard,test1,2889
Namani_no_control_narrow_STAR_macs3_picard_test2_peaks,Namani,no_control,narrow,STAR,macs3,picard,test2,2889
Namani_no_control_narrow_STAR_macs3_picard_test3_peaks,Namani,no_control,narrow,STAR,macs3,picard,test3,2889
Namani_no_control_narrow_STAR_macs3_sambamba_test1_peaks,Namani,no_control,narrow,STAR,macs3,sambamba,test1,2889
Namani_no_control_narrow_STAR_macs3_sambamba_test2_peaks,Namani,no_control,narrow,STAR,macs3,sambamba,test2,2889
Namani_no_control_narrow_STAR_macs3_sambamba_test3_peaks,Namani,no_control,narrow,STAR,macs3,sambamba,test3,2889
Namani_no_control_narrow_STAR_macs3_samtools_test1_peaks,Namani,no_control,narrow,STAR,macs3,samtools,test1,2889
Namani_no_control_narrow_STAR_macs3_samtools_test2_peaks,Namani,no_control,narrow,STAR,macs3,samtools,test2,2889
Namani_no_control_narrow_STAR_macs3_samtools_test3_peaks,Namani,no_control,narrow,STAR,macs3,samtools,test3,2889
Namani_no_control_narrow_bowtie2_genrich_no_deduplication_test1_peaks,Namani,no_control,narrow,bowtie2,genrich,no_deduplication,test1,311949
Namani_no_control_narrow_bowtie2_genrich_no_deduplication_test2_peaks,Namani,no_control,narrow,bowtie2,genrich,no_deduplication,test2,311949
Namani_no_control_narrow_bowtie2_genrich_no_deduplication_test3_peaks,Namani,no_control,narrow,bowtie2,genrich,no_deduplication,test3,311949
Namani_no_control_narrow_bowtie2_genrich_picard_test1_peaks,Namani,no_control,narrow,bowtie2,genrich,picard,test1,224136
Namani_no_control_narrow_bowtie2_genrich_picard_test2_peaks,Namani,no_control,narrow,bowtie2,genrich,picard,test2,224136
Namani_no_control_narrow_bowtie2_genrich_picard_test3_peaks,Namani,no_control,narrow,bowtie2,genrich,picard,test3,224136
Namani_no_control_narrow_bowtie2_genrich_sambamba_test1_peaks,Namani,no_control,narrow,bowtie2,genrich,sambamba,test1,224136
Namani_no_control_narrow_bowtie2_genrich_sambamba_test2_peaks,Namani,no_control,narrow,bowtie2,genrich,sambamba,test2,224136
Namani_no_control_narrow_bowtie2_genrich_sambamba_test3_peaks,Namani,no_control,narrow,bowtie2,genrich,sambamba,test3,224136
Namani_no_control_narrow_bowtie2_genrich_samtools_test1_peaks,Namani,no_control,narrow,bowtie2,genrich,samtools,test1,224136
Namani_no_control_narrow_bowtie2_genrich_samtools_test2_peaks,Namani,no_control,narrow,bowtie2,genrich,samtools,test2,224136
Namani_no_control_narrow_bowtie2_genrich_samtools_test3_peaks,Namani,no_control,narrow,bowtie2,genrich,samtools,test3,224136
