Endedness,Peak_Type,Aligner,Peak_Caller,Deduplicator,Control,Test_Data_1,Test_Data_2,Test_Data_3,Test_Data_4,Test_Data_5,Test_Data_6
single,narrow,bwa_mem,macs3,no_deduplication,with_control,,,,,,
single,narrow,bwa_mem,macs3,picard,no_control,,,,,,
single,narrow,bwa_mem,macs3,picard,with_control,,,,,,
single,narrow,bwa_mem,macs3,sambamba,no_control,,,,,,
single,narrow,bwa_mem,macs3,sambamba,with_control,,,,,,
single,narrow,bwa_mem,macs3,samtools,no_control,,,,,,
single,narrow,bwa_mem,macs3,samtools,with_control,,,,,,
single,narrow,bwa_mem,pepr,no_deduplication,with_control,,,,,,
single,narrow,bwa_mem,pepr,picard,with_control,,,,,,
single,narrow,bwa_mem,pepr,sambamba,with_control,,,,,,
single,narrow,bwa_mem,pepr,samtools,with_control,,,,,,
